Poll ID,Date,Respondents,Media Outlet,Pollster,Likud,UTJ,Shas,Blue & White,Yesh Atid,Hadash Ta'al,Yisrael Beiteinu,The Democrats,Religious Zionism,Ra'am,Balad,Otzma Yehudit,Bennett's Party,Yashar!,Bayit Yehudi–The Reservists,Joint Arab List
49,2023-06-11,700,חדשות 13,קמיל פוקס,24,7,10,28,19,6,5,0,11,6,0,,,,,
50,2023-06-15,700,חדשות 13,קמיל פוקס,24,7,9,28,17,6,5,0,11,5,4,,,,,
51,2023-06-15,516,חדשות 12,מנו גבע,27,7,10,27,18,5,6,0,10,5,0,,,,,
52,2023-06-16,512,מעריב,מנחם לזר,24,7,9,32,17,6,5,0,10,5,0,,,,,
53,2023-06-23,500,מעריב,מנחם לזר,26,7,9,30,17,6,6,0,9,5,0,,,,,
54,2023-06-26,516,חדשות 12,מנו גבע,27,7,10,28,18,4,6,0,10,6,0,,,,,
55,2023-06-26,702,חדשות 13,קמיל פוקס,24,7,10,28,20,4,6,0,11,6,0,,,,,
56,2023-06-29,779,ערוץ 14,שלמה פילברוצוריאלשרון,30,7,10,28,14,4,8,0,10,5,0,,,,,
57,2023-06-30,513,מעריב,מנחם לזר,27,7,9,28,19,6,5,0,10,5,0,,,,,
58,2023-07-05,701,חדשות 13,קמיל פוקס,26,7,10,26,18,4,6,0,13,6,0,,,,,
59,2023-07-06,472,ערוץ 14,שלמה פילברוצוריאלשרון,29,7,10,27,14,5,7,0,11,6,0,,,,,
60,2023-07-07,517,מעריב,מנחם לזר,29,7,9,26,20,5,5,0,10,5,0,,,,,
61,2023-07-09,501,חדשות 12,מנו גבע,28,7,10,26,20,5,6,0,9,5,0,,,,,
62,2023-07-09,606,כאן חדשות,דודי חסיד,28,7,10,29,17,5,6,0,9,5,0,,,,,
63,2023-07-13,697,חדשות 13,קמיל פוקס,25,7,9,27,21,4,6,0,10,7,0,,,,,
64,2023-07-13,500,ערוץ 14,דירקט פולס,30,7,9,28,14,5,7,0,11,5,0,,,,,
65,2023-07-14,516,מעריב,מנחם לזר,28,7,9,26,18,6,6,0,10,5,0,,,,,
66,2023-07-20,500,חדשות 13,קמיל פוקס,26,7,9,29,21,5,6,0,11,6,0,,,,,
67,2023-07-21,525,מעריב,מנחם לזר,28,7,9,29,17,5,5,0,10,5,0,,,,,
68,2023-07-23,602,כאן חדשות,דודי חסיד,27,7,9,30,17,5,5,0,10,5,0,,,,,
69,2023-07-24,1143,ערוץ 14,שלמה פילבר,31,7,9,28,14,5,7,0,10,5,0,,,,,
70,2023-07-25,501,חדשות 12,מנו גבע,28,7,10,28,19,5,6,0,8,5,0,,,,,
71,2023-07-25,711,חדשות 13,קמיל פוקס,25,7,10,30,17,5,6,0,10,6,0,,,,,
72,2023-07-28,500,ישראל היום,יצחק כ״ץ,27,7,10,28,21,4,4,0,9,5,0,,,,,
73,2023-07-28,504,מעריב,מנחם לזר,28,7,9,30,16,4,5,0,10,6,0,,,,,
74,2023-08-03,720,ערוץ 14,שלמה פילבר,30,7,10,25,16,5,7,0,10,5,0,,,,,
75,2023-08-04,507,מעריב,מנחם לזר,27,7,9,30,16,5,5,0,10,6,0,,,,,
76,2023-08-04,500,חדשות 12,מנו גבע,26,7,10,28,20,5,6,0,9,5,0,,,,,
77,2023-08-11,511,מעריב,מנחם לזר,28,7,9,29,16,5,6,0,10,5,0,,,,,
78,2023-08-18,511,מעריב,מנחם לזר,28,7,10,31,15,5,5,0,10,5,0,,,,,
79,2023-08-25,608,מעריב,מנחם לזר,27,7,10,30,16,6,5,0,10,5,0,,,,,
80,2023-09-01,512,מעריב,מנחם לזר,27,7,10,31,17,5,5,0,9,5,0,,,,,
81,2023-08-31,523,ערוץ 14,שלמה פילברוצוריאלשרון,31,6,10,26,15,5,8,0,10,5,0,,,,,
82,2023-09-04,702,חדשות 13,קמיל פוקס,25,7,10,26,20,5,6,0,11,6,0,,,,,
83,2023-09-06,927,ערוץ 14,שלמה פילברוצוריאלשרון,30,7,10,28,15,4,7,0,11,4,0,,,,,
84,2023-09-08,517,מעריב,מנחם לזר,26,7,10,30,17,5,5,0,10,6,0,,,,,
85,2023-09-10,505,חדשות 12,מנו גבע,26,7,10,29,18,5,6,0,9,5,0,,,,,
86,2023-09-13,697,חדשות 13,קמיל פוקס,25,7,10,28,18,5,6,0,11,6,0,,,,,
87,2023-09-15,525,מעריב,מנחם לזר,27,7,9,31,16,5,6,0,10,5,0,,,,,
88,2023-09-14,683,ערוץ 14,דירקט פולס,30,7,10,28,16,4,7,0,9,5,0,,,,,
89,2023-09-22,809,ערוץ 14,דירקט פולס,31,7,10,27,16,4,6,0,10,5,0,,,,,
90,2023-09-22,507,מעריב,מנחם לזר,26,7,10,31,16,5,6,0,10,5,0,,,,,
91,2023-09-26,601,כאן חדשות,דודי חסיד,27,7,10,30,18,5,5,0,9,5,0,,,,,
92,2023-09-26,702,חדשות 13,קמיל פוקס,26,7,10,27,16,5,6,0,10,5,4,,,,,
93,2023-09-26,500,חדשות 12,מנו גבע,28,7,10,27,18,5,6,0,9,5,0,,,,,
94,2023-09-29,505,מעריב,מנחם לזר,28,7,10,28,17,5,6,0,9,5,0,,,,,
95,2023-10-06,501,מעריב,מנחם לזר,28,7,10,29,16,5,6,0,10,5,0,,,,,
96,2023-10-13,600,מעריב,מנחם לזר,19,7,7,41,15,5,6,0,9,5,0,,,,,
97,2023-10-20,510,מעריב,מנחם לזר,18,7,8,40,15,5,7,0,10,4,0,,,,,
98,2023-10-27,522,מעריב,מנחם לזר,19,7,8,36,17,5,8,0,9,5,0,,,,,
99,2023-11-03,515,מעריב,מנחם לזר,18,7,8,39,15,5,8,0,9,5,0,,,,,
100,2023-11-10,515,מעריב,מנחם לזר,18,7,9,40,14,5,9,0,9,5,0,,,,,
101,2023-11-16,502,חדשות 12,מנו גבע,17,7,10,36,15,5,9,0,11,5,0,,,,,
102,2023-11-17,500,מעריב,מנחם לזר,17,7,8,42,14,5,8,0,10,5,0,,,,,
103,2023-11-24,500,מעריב,מנחם לזר,18,7,9,43,13,5,8,0,7,5,0,,,,,
104,2023-12-01,603,מעריב,מנחם לזר,20,7,9,40,14,5,10,0,7,4,0,,,,,
105,2023-12-08,505,מעריב,מנחם לזר,18,7,9,38,15,5,10,0,10,4,0,,,,,
110,2023-12-11,500,חדשות 13,קמיל פוקס,18,7,9,37,15,5,8,0,5,5,0,7,,,,
111,2023-12-15,510,מעריב,מנחם לזר,17,7,8,39,14,5,9,0,4,5,0,7,,,,
112,2023-12-18,504,חדשות 12,מנו גבע,18,7,11,37,15,5,9,0,0,5,0,8,,,,
113,2023-12-21,500,ערוץ 14,דירקט פולס,27,7,10,28,14,5,11,0,4,6,0,8,,,,
114,2023-12-22,502,מעריב,מנחם לזר,18,7,9,38,13,5,10,0,4,5,0,7,,,,
115,2023-12-28,700,חדשות 13,קמיל פוקס,16,7,9,38,15,4,8,0,5,6,0,8,,,,
116,2023-12-29,502,מעריב,מנחם לזר,17,7,9,38,13,5,11,0,4,5,0,7,,,,
117,2024-01-05,519,מעריב,מנחם לזר,19,6,9,36,14,5,10,0,4,5,0,8,,,,
118,2024-01-06,500,ערוץ 14,דירקט פולס,25,8,9,27,14,4,10,0,5,5,0,9,,,,
119,2024-01-07,600,כאן חדשות,דודי חסיד,20,7,10,33,14,5,10,0,4,5,0,8,,,,
120,2024-01-11,511,חדשות 12,מנו גבע,18,7,11,35,14,5,9,0,4,5,0,8,,,,
121,2024-01-12,515,מעריב,מנחם לזר,16,7,9,39,13,5,10,0,4,5,0,8,,,,
122,2024-01-14,500,ערוץ 14,דירקט פולס,26,8,10,29,14,4,9,0,4,4,0,8,,,,
123,2024-01-19,512,מעריב,מנחם לזר,16,6,9,39,13,5,10,0,4,5,0,9,,,,
124,2024-01-21,602,חדשות 13,קמיל פוקס,16,7,9,37,14,5,9,0,6,5,0,8,,,,
125,2024-01-25,500,ערוץ 14,דירקט פולס,27,7,10,26,12,5,11,0,4,5,0,9,,,,
126,2024-01-26,513,מעריב,מנחם לזר,16,7,9,40,13,5,9,0,4,5,0,8,,,,
127,2024-01-30,503,חדשות 12,מנו גבע,18,7,10,37,14,5,8,0,4,5,0,8,,,,
128,2024-02-02,500,ישראל היום,יצחק כ״ץ,19,7,10,34,15,4,9,0,5,5,0,8,,,,
129,2024-02-02,511,מעריב,מנחם לזר,18,6,9,38,12,5,10,0,4,5,0,9,,,,
130,2024-02-09,514,מעריב,מנחם לזר,17,7,9,36,12,5,10,0,5,5,0,10,,,,
131,2024-02-11,500,חדשות 13,קמיל פוקס,18,7,9,37,13,4,10,0,6,4,0,8,,,,
132,2024-02-11,510,חדשות 12,מנו גבע,18,7,11,37,15,5,9,0,0,5,0,9,,,,
133,2024-02-13,500,ערוץ 14,דירקט פולס,28,8,9,26,12,4,9,0,5,6,0,9,,,,
134,2024-02-16,515,מעריב,מנחם לזר,18,7,9,40,12,5,10,0,0,5,0,10,,,,
135,2024-02-23,508,מעריב,מנחם לזר,18,6,10,39,13,5,10,0,0,4,0,10,,,,
136,2024-03-01,511,מעריב,מנחם לזר,18,6,10,41,12,5,10,0,0,4,0,9,,,,
137,2024-03-02,20839,ערוץ 14,שלמה פילברוצוריאלשרון,24,8,10,27,10,0,11,0,5,5,4,10,,,,
138,2024-03-03,700,חדשות 13,קמיל פוקס,17,7,9,39,12,4,9,0,5,5,0,9,,,,
139,2024-03-08,510,מעריב,מנחם לזר,18,6,10,40,10,5,9,0,4,5,0,9,,,,
140,2024-03-12,503,חדשות 12,מנו גבע,19,7,11,35,14,5,10,0,0,5,0,9,,,,
141,2024-03-13,553,כאן חדשות,דודי חסיד,21,7,10,30,14,5,11,0,0,5,0,8,,,,
142,2024-03-13,500,חדשות 12,מנו גבע,18,7,11,33,13,5,11,0,0,5,0,8,,,,
143,2024-03-13,500,חדשות 13,קמיל פוקס,17,7,9,34,14,4,8,0,4,4,0,9,,,,
144,2024-03-13,500,ערוץ 14,שלמה פילברוצוריאלשרון,25,8,10,22,12,4,9,0,4,6,0,9,,,,
145,2024-03-15,601,מעריב,מנחם לזר,18,6,10,36,11,5,9,0,4,4,0,9,,,,
146,2024-03-22,500,מעריב,מנחם לזר,17,6,10,35,12,5,10,0,5,5,0,10,,,,
147,2024-03-29,500,מעריב,מנחם לזר,19,7,10,33,12,5,10,0,0,5,0,10,,,,
148,2024-03-31,589,ערוץ 14,שלמה פילברוצוריאלשרון,24,8,10,22,13,4,8,5,6,6,0,10,,,,
149,2024-04-05,528,מעריב,מנחם לזר,17,6,9,32,15,5,11,0,4,4,0,9,,,,
150,2024-04-07,500,חדשות 12,מנו גבע,19,8,11,32,15,5,11,0,0,5,0,9,,,,
151,2024-04-07,601,כאן חדשות,דודי חסיד,21,7,10,30,14,5,10,0,0,5,0,10,,,,
152,2024-04-07,587,ערוץ 14,שלמה פילברוצוריאלשרון,22,8,10,23,11,4,8,4,5,6,0,10,,,,
153,2024-04-07,587,ערוץ 14,שלמה פילברוצוריאלשרון,22,8,10,23,11,4,8,4,5,6,0,10,,,,
154,2024-04-12,508,מעריב,מנחם לזר,19,7,9,30,15,5,12,0,0,5,0,10,,,,
155,2024-04-15,816,ערוץ 14,שלמה פילברוצוריאלשרון,26,8,10,22,11,4,11,4,5,6,0,9,,,,
156,2024-04-19,500,מעריב,מנחם לזר,21,7,9,31,13,5,12,0,4,5,0,9,,,,
157,2024-04-21,500,חדשות 13,אריאל איילון,20,7,8,30,15,5,11,4,7,4,0,9,,,,
158,2024-04-26,500,מעריב,מנחם לזר,21,7,9,29,13,5,11,0,4,4,0,9,,,,
159,2024-04-30,500,חדשות 12,מנו גבע,18,8,10,31,15,5,10,0,4,5,0,10,,,,
160,2024-04-30,601,כאן חדשות,דודי חסיד,21,7,10,29,15,5,11,0,5,4,0,9,,,,
161,2024-05-03,500,מעריב,מנחם לזר,19,7,9,31,13,5,12,0,5,5,0,10,,,,
162,2024-05-08,500,חדשות 13,אריאל איילון,19,7,10,30,15,5,10,0,6,6,0,12,,,,
163,2024-05-09,500,ערוץ 14,שלמה פילברוצוריאלשרון,25,8,10,23,13,4,8,5,5,6,0,9,,,,
164,2024-05-10,500,מעריב,מנחם לזר,17,7,10,32,13,5,11,4,4,4,0,9,,,,
165,2024-05-16,925,ערוץ 14,שלמה פילברוצוריאלשרון,25,8,10,20,14,4,8,6,5,6,0,10,,,,
166,2024-05-16,502,חדשות 12,מנו גבע,19,8,10,29,16,5,11,0,4,5,0,9,,,,
167,2024-05-17,500,מעריב,מנחם לזר,19,7,9,30,14,5,12,0,5,5,0,9,,,,
168,2024-05-23,600,כאן חדשות,דודי חסיד,22,7,10,29,16,5,10,0,4,4,0,9,,,,
169,2024-05-24,500,מעריב,מנחם לזר,20,7,9,29,14,6,11,4,0,5,0,10,,,,
170,2024-05-29,503,חדשות 12,מנו גבע,21,7,10,25,13,5,10,10,5,5,0,9,,,,
171,2024-05-30,925,ערוץ 14,שלמה פילברוצוריאלשרון,27,8,10,19,12,4,13,8,4,6,0,9,,,,
172,2024-05-31,502,מעריב,מנחם לזר,22,7,10,25,14,5,10,5,4,4,0,10,,,,
173,2024-06-02,605,כאן חדשות,דודי חסיד,21,7,10,27,14,5,12,6,4,5,0,9,,,,
174,2024-06-06,778,ערוץ 14,שלמה פילברוצוריאלשרון,25,8,10,17,13,4,14,9,5,6,0,9,,,,
175,2024-06-07,502,מעריב,מנחם לזר,20,7,10,27,15,5,11,6,4,5,0,10,,,,
176,2024-06-10,507,חדשות 12,מנו גבע,19,8,10,22,15,5,13,9,4,5,0,10,,,,
177,2024-06-10,500,חדשות 13,אריאל איילון,20,7,10,25,13,5,12,9,5,5,0,9,,,,
178,2024-06-10,605,כאן חדשות,דודי חסיד,22,7,10,23,16,5,12,7,4,5,0,9,,,,
179,2024-06-10,512,ערוץ 14,שלמה פילברוצוריאלשרון,26,8,10,17,12,4,13,9,5,6,0,10,,,,
180,2024-06-14,544,ישראל היום,יצחק כ״ץ,21,7,10,24,16,5,12,5,4,4,0,8,,,,
181,2024-06-14,501,מעריב,מנחם לזר,21,7,10,24,15,5,14,5,5,5,0,9,,,,
182,2024-06-20,514,ערוץ 14,שלמה פילברוצוריאלשרון,24,8,10,18,13,4,14,8,5,6,0,10,,,,
183,2024-06-21,510,מעריב,מנחם לזר,22,7,10,23,16,5,14,5,0,5,0,9,,,,
184,2024-06-23,500,חדשות 13,יצחק כ״ץ,21,8,9,25,12,5,11,10,5,4,0,10,,,,
185,2024-06-24,500,חדשות 12,מנו גבע,20,8,10,23,15,5,14,11,0,5,0,9,,,,
186,2024-06-25,843,ערוץ 14,שלמה פילברוצוריאלשרון,26,8,10,17,13,4,14,8,6,6,0,8,,,,
187,2024-06-28,500,מעריב,מנחם לזר,21,7,10,24,15,5,14,10,0,5,0,9,,,,
188,2024-07-04,858,ערוץ 14,שלמה פילברוצוריאלשרון,24,8,10,17,13,4,13,10,6,6,0,9,,,,
189,2024-07-05,600,מעריב,מנחם לזר,21,7,9,23,13,5,14,10,4,5,0,9,,,,
190,2024-07-07,500,חדשות 13,יצחק כ״ץ,21,8,10,25,13,4,12,9,4,4,0,10,,,,
191,2024-07-09,500,i24 news,עדי טימורוריקיהרצברג,21,8,11,22,15,5,14,8,0,6,0,10,,,,
192,2024-07-11,500,ערוץ 14,שלמה פילברוצוריאלשרון,24,8,10,16,13,4,14,10,6,6,0,9,,,,
193,2024-07-12,500,מעריב,מנחם לזר,20,7,9,24,13,5,14,9,4,5,0,10,,,,
194,2024-07-18,779,ערוץ 14,שלמה פילברוצוריאלשרון,28,8,10,16,12,4,13,11,4,6,0,8,,,,
195,2024-07-19,502,מעריב,מנחם לזר,21,7,9,23,13,6,14,9,4,4,0,10,,,,
196,2024-07-25,500,חדשות 13,יצחק כ״ץ,21,7,9,23,13,6,12,8,5,5,0,11,,,,
197,2024-07-25,631,ערוץ 14,שלמה פילברוצוריאלשרון,28,8,10,15,14,4,14,9,4,6,0,8,,,,
198,2024-07-26,500,מעריב,מנחם לזר,23,7,10,23,12,6,14,8,4,4,0,9,,,,
199,2024-07-26,1163,i24 news,עדי טימורוריקיהרצברג,24,8,9,23,12,4,12,9,4,6,0,9,,,,
200,2024-08-01,800,ערוץ 14,שלמה פילברוצוריאלשרון,29,8,11,16,12,4,14,10,4,6,0,6,,,,
201,2024-08-02,510,מעריב,מנחם לזר,21,7,10,22,13,5,15,8,4,5,0,10,,,,
202,2024-08-08,505,ערוץ 14,שלמה פילברוצוריאלשרון,28,8,10,16,13,4,14,9,5,6,0,7,,,,
203,2024-08-09,501,מעריב,מנחם לזר,22,7,10,20,13,5,15,9,4,5,0,10,,,,
204,2024-08-15,505,ערוץ 14,שלמה פילברוצוריאלשרון,28,8,10,16,12,4,14,10,4,6,0,8,,,,
205,2024-08-16,500,מעריב,מנחם לזר,22,7,9,21,14,6,15,9,4,4,0,9,,,,
206,2024-08-22,503,חדשות 12,מנו גבע,22,8,10,22,15,5,14,11,0,5,0,8,,,,
207,2024-08-22,600,כאן חדשות,דודי חסיד,24,8,10,21,13,5,14,8,4,5,0,8,,,,
208,2024-08-23,501,מעריב,מנחם לזר,22,7,9,20,15,5,14,9,4,5,0,10,,,,
209,2024-08-27,608,i24 news,יצחק כ״ץ,22,8,9,21,11,6,14,11,5,5,0,8,,,,
210,2024-08-29,510,ערוץ 14,שלמה פילברוצוריאלשרון,30,8,10,17,11,5,13,11,4,5,0,6,,,,
211,2024-08-30,500,מעריב,מנחם לזר,21,8,9,21,14,6,15,9,4,4,0,9,,,,
212,2024-09-04,600,כאן חדשות,דודי חסיד,22,7,10,23,14,5,14,8,4,5,0,8,,,,
213,2024-09-05,536,ערוץ 14,שלמה פילברוצוריאלשרון,29,8,10,17,11,4,13,11,5,6,0,6,,,,
214,2024-09-06,506,מעריב,מנחם לזר,23,7,9,22,13,6,15,8,4,4,0,9,,,,
215,2024-09-09,503,חדשות 12,מנו גבע,22,8,10,21,15,5,14,11,0,5,0,9,,,,
216,2024-09-12,536,ערוץ 14,שלמה פילברוצוריאלשרון,29,8,9,18,10,4,13,11,5,6,0,7,,,,
217,2024-09-13,503,מעריב,מנחם לזר,24,7,9,21,15,5,14,8,4,4,0,9,,,,
218,2024-09-17,500,חדשות 13,יצחק כ״ץ,21,7,10,22,13,5,14,8,5,6,0,9,,,,
219,2024-09-19,500,ערוץ 14,שלמה פילברוצוריאלשרון,30,8,10,17,10,5,13,11,5,5,0,6,,,,
220,2024-09-20,606,מעריב,מנחם לזר,24,7,9,21,15,5,14,9,4,4,0,8,,,,
221,2024-09-26,509,i24 news,יצחק כ״ץ,24,8,10,21,11,6,15,9,4,4,0,8,,,,
222,2024-09-26,583,ערוץ 14,שלמה פילברוצוריאלשרון,30,8,10,15,9,4,15,11,5,6,0,7,,,,
223,2024-09-27,501,מעריב,מנחם לזר,25,6,10,19,15,6,14,9,4,4,0,8,,,,
224,2024-09-29,520,ערוץ 14,שלמה פילברוצוריאלשרון,31,8,11,15,9,5,15,10,5,5,0,6,,,,
225,2024-09-29,502,חדשות 12,מנו גבע,25,8,10,21,15,5,14,11,0,5,0,6,,,,
226,2024-10-02,600,מעריב,מנחם לזר,26,7,10,19,14,5,14,9,4,5,0,7,,,,
227,2024-10-11,500,מעריב,מנחם לזר,24,7,10,20,14,5,14,10,4,5,0,7,,,,
228,2024-10-15,472,ערוץ 14,שלמה פילברוצוריאלשרון,33,8,10,15,8,5,15,10,4,5,0,7,,,,
229,2024-10-18,602,מעריב,מנחם לזר,23,7,10,20,14,6,14,10,4,5,0,7,,,,
230,2024-10-20,676,חדשות 13,יצחק כ״ץ,25,7,10,21,13,5,13,9,5,4,0,8,,,,
231,2024-10-25,500,מעריב,מנחם לזר,25,7,10,21,14,5,15,10,0,5,0,8,,,,
232,2024-10-27,523,ערוץ 14,שלמה פילברוצוריאלשרון,33,8,10,14,9,5,14,11,5,5,0,6,,,,
233,2024-10-28,507,חדשות 12,מנו גבע,26,8,10,22,13,5,13,10,0,5,0,8,,,,
234,2024-10-31,501,ישראל היום,יצחק כ״ץ,26,8,11,19,11,5,12,11,4,5,0,8,,,,
235,2024-11-01,500,מעריב,מנחם לזר,23,7,10,20,13,5,14,11,4,5,0,8,,,,
236,2024-11-06,502,חדשות 12,מנו גבע,25,8,10,20,15,5,13,11,0,5,0,8,,,,
237,2024-11-06,606,כאן חדשות,דודי חסיד,24,7,10,21,13,6,15,11,0,5,0,8,,,,
238,2024-11-06,504,ערוץ 14,שלמה פילברוצוריאלשרון,33,8,10,16,8,5,14,10,5,5,0,6,,,,
239,2024-11-06,502,i24 news,יצחק כ״ץ,26,7,10,20,12,5,16,9,0,5,0,10,,,,
240,2024-11-08,500,מעריב,מנחם לזר,24,7,10,19,15,5,14,13,0,5,0,8,,,,
241,2024-11-15,500,מעריב,מנחם לזר,23,7,10,20,14,5,15,13,0,5,0,8,,,,
242,2024-11-18,500,חדשות 12,מנו גבע,26,8,9,19,15,5,13,12,0,5,0,8,,,,
243,2024-11-22,504,מעריב,מנחם לזר,25,8,9,19,15,5,14,12,0,5,0,8,,,,
244,2024-11-26,510,חדשות 12,מנו גבע,25,8,9,18,15,5,14,12,0,5,0,9,,,,
245,2024-11-29,500,מעריב,מנחם לזר,24,7,9,19,15,5,14,11,4,5,0,7,,,,
246,2024-12-06,500,מעריב,מנחם לזר,22,8,9,19,15,5,14,12,4,5,0,7,,,,
247,2024-12-09,501,i24 news,יצחק כ״ץ,27,7,9,19,14,5,11,9,4,5,0,10,,,,
248,2024-12-11,676,חדשות 13,יצחק כ״ץ,26,7,10,19,13,5,12,10,5,4,0,9,,,,
249,2024-12-12,503,חדשות 12,מנו גבע,25,8,9,19,16,5,13,11,0,5,0,9,,,,
250,2024-12-12,500,ערוץ 14,שלמה פילברוצוריאלשרון,34,8,10,14,10,5,11,12,5,5,0,6,,,,
251,2024-12-13,500,מעריב,מנחם לזר,25,7,10,19,14,5,14,13,0,5,0,8,,,,
252,2024-12-13,500,כאן חדשות,דודי חסיד,26,8,10,19,15,5,14,10,0,5,0,8,,,,
253,2024-12-19,500,ערוץ 14,שלמה פילברוצוריאלשרון,33,8,10,13,10,4,12,12,4,6,0,8,,,,
254,2024-12-20,500,מעריב,מנחם לזר,24,7,9,20,15,6,14,12,0,4,0,9,,,,
255,2024-12-25,501,חדשות 12,מנו גבע,23,7,9,19,15,5,14,11,4,5,0,8,,,,
